year,new_entries
1939,1
1940,0
1941,2
1942,0
1943,1
1944,0
1945,1
1946,0
1947,0
1948,1
1949,2
1950,0
1951,2
1952,12
1953,3
1954,2
1955,2
1956,9
1957,4
1958,16
1959,8
1960,8
1961,12
1962,8
1963,14
1964,18
1965,62
1966,42
1967,70
1968,68
1969,79
1970,111
1971,146
1972,156
1973,168
1974,180
1975,196
1976,239
1977,247
1978,303
1979,371
1980,464
1981,579
1982,799
1983,957
1984,1315
1985,1672
1986,2452
1987,2694
1988,3434
1989,4440
1990,5454
1991,5516
1992,7050
1993,7403
1994,8147
1995,10184
1996,11646
1997,16594
1998,16621
1999,14245
2000,24367
2001,22924
2002,30188
2003,28012
2004,41999
2005,36266
2006,30591
2007,31081
2008,31997
2009,30303
2010,10103
2011,12203
2012,2931
2013,2261
2014,1816
2015,1971
2016,1358
2017,583
2018,560
2019,440
2020,242
2021,111
